Institute,Branch,Duration (Years),Degree Title,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Bhubaneswar,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,9106,14782
IIT Bhubaneswar,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),18286,23024
IIT Bhubaneswar,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2389,3685
IIT Bhubaneswar,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4833,7557
IIT Bhubaneswar,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5381,7661
IIT Bhubaneswar,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),12140,14183
IIT Bhubaneswar,Electronics and Communication Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3944,5157
IIT Bhubaneswar,Electronics and Communication Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),8798,10904
IIT Bhubaneswar,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,10756,11307
IIT Bhubaneswar,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),18825,18825
IIT Bhubaneswar,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7881,10233
IIT Bhubaneswar,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),16104,19505
IIT Bhubaneswar,Metallurgical and Materials Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,11823,14898
IIT Bhubaneswar,Metallurgical and Materials Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),20901,21693
IIT Bombay,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,817,2394
IIT Bombay,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2494,6360
IIT Bombay,BS in Mathematics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,631,1191
IIT Bombay,BS in Mathematics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),4101,4101
IIT Bombay,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,650,2545
IIT Bombay,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4559,6650
IIT Bombay,Chemistry,4,Bachelor of Science,AI,OPEN,Gender-Neutral,5629,7430
IIT Bombay,Chemistry,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),9692,11262
IIT Bombay,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2244,4046
IIT Bombay,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6334,8833
IIT Bombay,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1,68
IIT Bombay,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7,421
IIT Bombay,Economics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,1562,2408
IIT Bombay,Economics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),3878,4408
IIT Bombay,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,15,496
IIT Bombay,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),642,1339
IIT Bombay,Electrical Engineering,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Gender-Neutral,536,973
IIT Bombay,Electrical Engineering,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Female-only (including Supernumerary),1731,2424
IIT Bombay,Energy Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1905,2689
IIT Bombay,Energy Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3767,5537
IIT Bombay,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,197,1719
IIT Bombay,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),1680,3629
IIT Bombay,Environmental Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3424,4718
IIT Bombay,Environmental Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),8821,9292
IIT Bombay,Industrial Engineering and Operations Research,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1042,1726
IIT Bombay,Industrial Engineering and Operations Research,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3258,4762
IIT Bombay,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,666,1685
IIT Bombay,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),1662,4444
IIT Bombay,Metallurgical Engineering and Materials Science,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2690,4193
IIT Bombay,Metallurgical Engineering and Materials Science,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6870,8491
IIT Mandi,B.Tech in General Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7482,10842
IIT Mandi,B.Tech in General Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),14742,18004
IIT Mandi,B.Tech in Materials Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,12859,14440
IIT Mandi,B.Tech in Materials Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),21058,23252
IIT Mandi,B.Tech in Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3634,4089
IIT Mandi,B.Tech in Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7453,7886
IIT Mandi,B.Tech in Microelectronics & VLSI,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4694,6643
IIT Mandi,B.Tech in Microelectronics & VLSI,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),11035,12194
IIT Mandi,Bio Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,11233,14239
IIT Mandi,Bio Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),20007,21077
IIT Mandi,BS in Chemical Sciences,4,Bachelor of Science,AI,OPEN,Gender-Neutral,12900,16430
IIT Mandi,BS in Chemical Sciences,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),23662,23698
IIT Mandi,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,9968,12562
IIT Mandi,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),20688,22150
IIT Mandi,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1803,3118
IIT Mandi,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6049,6725
IIT Mandi,Data Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3222,3918
IIT Mandi,Data Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7110,9188
IIT Mandi,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4772,6909
