Institute,Branch,Duration (Years),Degree Title,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Bhubaneswar,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,10922,16156
IIT Bhubaneswar,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),19820,23960
IIT Bhubaneswar,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2344,4162
IIT Bhubaneswar,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4082,6467
IIT Bhubaneswar,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5974,8165
IIT Bhubaneswar,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),13141,16009
IIT Bhubaneswar,Electronics and Communication Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3873,5885
IIT Bhubaneswar,Electronics and Communication Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),8993,10965
IIT Bhubaneswar,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,9525,12466
IIT Bhubaneswar,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),21659,22403
IIT Bhubaneswar,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4174,4708
IIT Bhubaneswar,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7679,8804
IIT Bhubaneswar,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7759,11678
IIT Bhubaneswar,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),17144,20366
IIT Bhubaneswar,Metallurgical and Materials Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,11591,16268
IIT Bhubaneswar,Metallurgical and Materials Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),21631,22981
IIT Bombay,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1195,2361
IIT Bombay,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4812,5994
IIT Bombay,Applied Geophysics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,6087,8343
IIT Bombay,Applied Geophysics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),13688,13761
IIT Bombay,BS in Mathematics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,753,1067
IIT Bombay,BS in Mathematics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),3432,3432
IIT Bombay,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,601,2464
IIT Bombay,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4813,5969
IIT Bombay,Chemistry,4,Bachelor of Science,AI,OPEN,Gender-Neutral,3133,7228
IIT Bombay,Chemistry,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),9368,10435
IIT Bombay,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2666,4250
IIT Bombay,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6085,8597
IIT Bombay,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1,66
IIT Bombay,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),29,369
IIT Bombay,Economics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,1531,2372
IIT Bombay,Economics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),3744,4928
IIT Bombay,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,106,433
IIT Bombay,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),779,1914
IIT Bombay,Electrical Engineering,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Gender-Neutral,470,841
IIT Bombay,Electrical Engineering,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Female-only (including Supernumerary),2219,3274
IIT Bombay,Energy Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1810,2584
IIT Bombay,Energy Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4087,6136
IIT Bombay,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,122,1539
IIT Bombay,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3126,5593
IIT Bombay,Environmental Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3143,4777
IIT Bombay,Environmental Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),8026,8925
IIT Bombay,Industrial Engineering and Operations Research,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,264,1273
IIT Bombay,Industrial Engineering and Operations Research,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2669,3012
IIT Bombay,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,490,1834
IIT Bombay,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2816,4693
IIT Bombay,Metallurgical Engineering and Materials Science,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2712,4345
IIT Bombay,Metallurgical Engineering and Materials Science,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6628,8075
IIT Mandi,B.Tech in General Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,8480,11034
IIT Mandi,B.Tech in General Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),16970,17710
IIT Mandi,B.Tech in Materials Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,12260,14368
IIT Mandi,B.Tech in Materials Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),23443,23642
IIT Mandi,B.Tech in Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3945,4285
IIT Mandi,B.Tech in Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),9721,9846
IIT Mandi,B.Tech in Microelectronics & VLSI,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4593,6166
IIT Mandi,B.Tech in Microelectronics & VLSI,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),11355,12496
IIT Mandi,Bio Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,12646,14879
IIT Mandi,Bio Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),24904,25194
IIT Mandi,BS in Chemical Sciences,4,Bachelor of Science,AI,OPEN,Gender-Neutral,13425,17491
IIT Mandi,BS in Chemical Sciences,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),25305,26718
IIT Mandi,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,10954,14274
IIT Mandi,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),21169,23543
IIT Mandi,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2096,3123
IIT Mandi,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6922,7997
IIT Mandi,Data Science and Artificial Intelligence,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3221,3928
IIT Mandi,Data Science and Artificial Intelligence,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),8476,9741
IIT Mandi,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5136,7590
IIT Mandi,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),11244,14984
IIT Mandi,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,8831,12110
IIT Mandi,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),19108,20778
IIT Mandi,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,8023,10267
IIT Mandi,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),17438,20608
IIT Delhi,Abu Dhabi Campus - Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5200,5712
IIT Delhi,Abu Dhabi Campus - Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),11520,11520
IIT Delhi,Abu Dhabi Campus - Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1291,1761
IIT Delhi,Abu Dhabi Campus - Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6480,6480
IIT Delhi,Abu Dhabi Campus - Energy Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4661,5590
IIT Delhi,Abu Dhabi Campus - Energy Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),8973,8973
